AX,AY,AZ,GX,GY,GZ
-0.34910452,0.17371368,0.65254915,0.11911872,0.12698361,-0.05535966
-0.155828,0.55672264,0.5347569,0.11178834,0.11049025,-0.054137934
0.16783988,-0.479887,-0.48991236,0.103847094,0.090331696,-0.052916203
0.1597349,-0.47930717,-0.4911574,0.093462385,0.08116872,-0.05047274
0.15345275,-0.4788723,-0.4919722,0.07880162,0.07383834,-0.05169447
0.32583535,-0.5099964,-1.0402445,0.07147124,0.08788824,-0.04925101
0.37835753,-0.052310944,1.2942461,0.051923547,0.093386024,-0.048640147
0.53909546,-0.10472298,-0.32735097,0.043982297,0.09521862,-0.04680755
0.5787378,-0.5188551,0.33449382,0.03848451,0.09521862,-0.04008803
0.63725245,-0.9114866,-1.8269325,0.03481932,0.087277375,-0.0388663
0.4645558,-0.55473614,-0.41167355,0.031154128,0.064064495,-0.028481591
0.2577464,0.093894005,0.17711656,0.037873644,0.037797287,-0.018096883
0.027483046,-0.19841099,-0.6220149,0.040317107,0.006643159,0.02649628
0.03422755,-0.19870567,-0.61146426,0.034208454,0.00908662,0.02893974
-0.48525137,-0.18581867,-1.18688,0.034208454,0.00908662,0.02893974
-0.7599776,0.22630978,-0.1358464,0.028099801,0.012140946,0.035659257
-0.80884945,0.973361,0.478814,0.028099801,0.012140946,0.035659257
-0.8025369,0.97351074,0.49918348,0.028099801,0.012140946,0.035659257
-0.5569132,-0.27606773,-1.4384913,0.026267206,0.015806139,0.041157044
-0.31508946,-0.2181139,-2.2091765,0.012217305,0.015195273,0.049098294
-0.05962974,0.589509,0.17667934,0.001832596,0.013973543,0.05642868
0.24871087,0.4322014,-0.98034906,-0.021380283,0.00786489,0.06009387
0.4895807,0.056803703,-0.74576986,-0.035430185,0.00786489,0.06742425
0.58455145,-0.1392641,-0.97248137,-0.04337143,0.00908662,0.07047858
0.5867259,-0.13960457,-0.9774492,-0.06536258,0.012751812,0.07047858
0.5064488,-0.10982895,-0.5698533,-0.07391469,0.017638734,0.071700305
0.23590392,0.050581932,-0.25621283,-0.106901415,0.02985604,0.06681339
-0.11848903,0.17166328,0.9244161,-0.112399206,0.035353824,0.064369924
-0.31671852,-0.40313244,-0.38118017,-0.12034045,0.03718642,0.06009387
-0.482493,-0.73382664,-0.8123136,-0.13500121,0.04024075,0.051541757
-0.6554446,-0.39947224,0.14921206,-0.14477506,0.037797287,0.04665483
-0.86384445,0.1100502,1.348253,-0.14844026,0.03596469,0.04176791
-1.0314084,-0.35089397,0.9163947,-0.1459968,0.031688634,0.027107146
-1.0292677,-0.4637947,0.19104278,-0.14355333,0.034132097,0.020998493
-1.0230571,-0.6394377,-0.74667996,-0.1386664,0.029245174,0.016722437
-1.0332229,0.18102169,0.4887901,-0.13988814,0.021303926,0.010002919
-0.92263246,0.747139,0.54030454,-0.13255776,5.35E-04,0.002672535
-0.2812921,0.7338619,0.903513,-0.1301143,-0.014126259,-3.82E-04
0.2504083,0.06758785,-1.6703577,-0.12217305,-0.041615196,-0.003436117
0.433048,0.251935,-0.5846482,-0.11911872,-0.05138904,-0.007101309
0.53799546,0.67926407,-0.90069735,-0.11484267,-0.05933029,-0.01198823
0.54071754,0.67960453,-0.8958551,-0.10751228,-0.042836927,-0.012599096
0.39367196,0.36901093,-1.757129,-0.108123146,-0.02939789,-0.013209961
0.047141105,0.7289219,-0.33731353,-0.10567969,0.015195273,-0.012599096
0.059412837,0.7286196,-0.336677,-0.1142318,0.05245805,-0.010155635
0.08282587,0.72677517,-0.349526,-0.12034045,0.06834055,-0.008933905
0.094180495,0.72601986,-0.35455108,-0.1337795,0.07078401,-0.007101309
-0.6168974,0.6015215,-0.37370467,-0.1423316,0.06834055,-0.002825252
-1.1561638,-0.26601982,-0.8850754,-0.16249016,0.04024075,0.001450805
-1.1448501,-0.26799488,-0.9040227,-0.17104226,0.012140946,0.008781188
-1.4265915,0.18949032,0.33746904,-0.1777618,-7.64E-05,0.009392053
-1.3634487,-0.3860426,0.12885201,-0.17715092,-0.007406741,0.012446379
-1.2297832,-0.86729336,-0.8195312,-0.14110987,0.039629884,0.019165898
-0.9817978,-0.48930168,0.5210586,-0.14110987,0.039629884,0.019165898
-0.6216668,-0.75584984,-0.7517069,-0.12705997,0.05673411,0.018555032
-0.31584144,-0.63118935,0.5316303,-0.099571034,0.077503525,0.020387627
-0.016392052,-0.8485689,-0.71238554,-0.06963864,0.08239045,0.021609358
0.19231823,-0.4271536,0.5237626,-0.050701816,0.078725256,0.022220224
0.306167,-0.5224104,-0.5640911,-0.022602014,0.051236324,0.022220224
0.25938013,-0.6454048,-0.31114215,-0.01038471,0.035353824,0.019776762
0.042946875,-0.90044594,-1.3957481,0.004276057,0.006032294,0.016722437
-0.84229517,-0.09100819,-0.16778696,0.01038471,5.35E-04,0.016111571
-0.8295158,-0.09045696,-0.1589005,0.020158553,0.006643159,0.012446379
-1.3268238,-0.24786472,-0.34093642,0.014660766,0.038408153,0.005115997
-1.763094,-0.29554462,-0.5873136,-0.004276057,0.0762818,-0.005268713
-1.9518151,-0.29773045,-0.6378631,-0.013439035,0.093386024,-0.007101309
-1.9340856,-0.29737282,-0.6316081,-0.03848451,0.101938136,-0.018096883
-1.9280677,-0.29760075,-0.63327223,-0.052534413,0.09582949,-0.020540344
-1.7532909,-0.29760075,-0.40821725,-0.06780604,0.06772968,-0.027870728
-0.92093825,-0.34985352,-0.053753734,-0.081855945,0.02069306,-0.030925052
-0.57908005,-0.3179226,0.05780399,-0.081855945,-0.003130684,-0.03214678
0.33056992,-0.4329691,0.3212837,-0.07086037,-0.042836927,-0.033368513
0.3631512,-0.43101692,0.31221008,0.021380283,0.058566704,-0.038255434
0.9327011,-0.34570217,0.17678344,0.021380283,0.058566704,-0.038255434
0.92584646,-0.34618092,0.17823184,0.021380283,0.058566704,-0.038255434
1.0600138,-0.40868855,-0.007578373,0.021380283,0.058566704,-0.038255434
0.9212667,-0.42078876,-0.00864923,0.035430185,0.083001316,-0.038255434
0.67750853,0.002560616,-0.031837106,0.06169739,0.106214195,-0.04008803
0.5788889,-0.003294945,-0.031042814,0.07452556,0.10743593,-0.035811976
0.09566286,0.23030376,-0.2672609,0.093462385,0.08788824,-0.03520111
-0.058184773,0.23187256,-0.45244682,0.11178834,0.05551238,-0.027259862
-0.28987467,0.5806284,-0.09354055,0.116675265,0.03718642,-0.024205536
-0.38190877,0.7300472,0.21052086,0.12156218,0.013362677,-0.019929478
-0.44110945,0.68013,-0.10039806,0.12339478,0.012140946,-0.017486017
-0.4608531,0.19928265,-0.66461134,0.12583824,0.025579982,-0.013820826
-0.3670277,0.74112225,0.08111656,0.115453534,0.059788436,-0.015653422
0.1056284,0.85001755,0.34008592,0.10323623,0.10010554,-0.015653422
0.1131421,0.8499117,0.3360662,0.09773844,0.11171198,-0.015653422
0.107860655,0.84861755,0.32811838,0.08735373,0.12331842,-0.019318614
0.107860655,0.84861755,0.32811838,0.08307768,0.11904237,-0.02115121
0.661198,0.19161415,-0.17140579,0.07452556,0.09399689,-0.019929478
0.64442813,0.19018173,-0.17583871,0.07147124,0.07811439,-0.017486017
0.86077803,-0.07878494,-0.22436345,0.039095376,0.08666651,-0.03153592
0.78955054,-0.07897949,-0.20205522,0.039095376,0.08666651,-0.03153592
0.51427025,-0.10374451,-0.016748905,0.039095376,0.08666651,-0.03153592
0.28176877,-0.03780842,0.025197625,0.039095376,0.08666651,-0.03153592
0.13438918,-0.23941994,0.1222955,0.034208454,0.09705122,-0.037644573
0.13341857,-0.2392435,0.12385142,0.031154128,0.10987939,-0.038255434
-0.06983489,-0.87436867,-0.6401719,0.017715093,0.11904237,-0.044974953
-0.027293682,-0.8007202,-0.38642275,0.01160644,0.11904237,-0.049861874
0.18056348,-1.1816492,-1.052071,0.007941248,0.11598804,-0.049861874
0.4967147,-0.9872637,-0.11232984,0.008552114,0.09644035,-0.052916203
0.9889277,-1.4055853,-0.7616817,0.010995574,0.090331696,-0.05352707
1.4916683,-1.7474866,-0.65524673,0.009773844,0.07383834,-0.056581393
1.4907726,-1.7496877,-0.6724458,0.012217305,0.07200574,-0.05719226
2.13288,-2.3682218,-1.3429735,0.012217305,0.077503525,-0.055970527
2.956047,-1.7966228,1.0210738,0.01282817,0.09949467,-0.057803124
2.3886688,-1.7825313,1.912281,0.014049901,0.104992464,-0.056581393
2.4463782,-1.781549,1.902817,0.014660766,0.1043816,-0.05841399
2.4800243,-1.7787671,1.9155169,0.019547688,0.101938136,-0.052916203
2.4800243,-1.7787671,1.9155169,0.015882496,0.0884991,-0.04680755
0.17676964,-2.4530077,-1.4091244,0.01282817,0.08055785,-0.04558582
0.23384151,-2.4495983,-1.4042261,-0.0421497,0.07506007,-0.008323039
-3.0146074,-0.06912041,1.6123365,-0.04886922,0.07078401,-0.004657847
-2.9571075,-0.06252098,1.6377007,-0.04886922,0.07078401,-0.004657847
-4.88093,0.61260986,1.0195255,-0.04886922,0.07078401,-0.004657847
-5.0243196,0.51582813,-0.83090675,-0.04886922,0.07078401,-0.004657847
-5.3061075,1.4154463,1.7354385,-0.05131268,0.06528623,-0.004657847
-5.074467,3.0840387,2.225514,-0.05375614,0.05795584,8.40E-04
-5.074467,3.0840387,2.225514,0.37690386,0.07933612,0.036270123
-4.6571774,2.0237246,-0.36826754,0.38240165,0.17585284,0.0313832
-4.2418675,2.2049093,-0.63467276,0.40866885,0.27114782,0.031994067
-3.7319632,2.7948189,-0.79135954,0.4251622,0.30535626,0.0313832
-3.427175,3.6534224,1.6754507,0.46792278,0.28336513,0.045433104
-2.944335,3.5847673,0.40086627,0.48380527,0.22899811,0.053985216
-2.3750098,2.6314993,0.52443886,0.49541172,0.15263996,0.06498079
-1.8880823,1.4471779,-2.4516678,0.4990769,-0.034895677,0.09246973
-1.9826336,1.3214827,-1.0888878,0.46181414,-0.16562083,0.11323915
-2.044219,2.1678581,1.5731992,0.4447099,-0.14485142,0.12484559
-1.8430972,0.5448961,0.8353367,0.13927728,0.07200574,0.18165605
-1.8743582,0.5330868,0.76444006,0.13927728,0.07200574,0.18165605
-1.893297,0.52771187,0.73256135,0.13927728,0.07200574,0.18165605
-1.586839,0.57559586,0.68467736,0.13927728,0.07200574,0.18165605
-1.2533277,-0.14165783,1.1625954,0.026267206,0.09949467,0.199982
-1.0376754,-0.9107866,0.53057516,-0.021380283,0.100716405,0.21036673
-0.7041358,-1.8264718,-0.5822849,-0.092240654,0.051236324,0.23235787
-0.5508666,-1.3938341,0.93881583,-0.116675265,0.014584408,0.24335344
-0.2525979,-0.9092169,0.82672083,-0.15149458,-0.05933029,0.25923595
-0.086191565,-0.83726597,1.9182699,-0.14905111,-0.12835807,0.2757293
-0.107753396,-0.83743477,1.9237317,-0.13500121,-0.14973834,0.28367054
0.6758394,-1.600297,-0.27169752,-0.08368854,-0.16073392,0.28672487
0.7844272,-1.4201059,0.3248837,-0.05009095,-0.14424056,0.286114
0.94974023,-1.0933275,0.38722003,0.020158553,-0.076434515,0.28367054
0.9366721,-1.0913992,0.40544367,0.08979719,-0.005574145,0.27817276
1.055416,-0.70163345,0.29466212,0.12156218,0.018860465,0.2738967
1.3266338,0.003483772,0.78373575,0.1685988,0.0322995,0.26778805
1.7045524,-0.16147614,0.45480245,0.18020524,-0.005574145,0.26229027
1.6873639,-0.1614027,0.45847446,0.18020524,-0.039171733,0.25923595
2.5880587,-0.88980484,0.6347821,0.15393804,-0.10758864,0.25495988
3.1583867,-0.6548977,1.2267181,-0.08857546,-0.015347989,0.19753855
2.8475485,-1.5172663,1.6217893,-0.08857546,-0.015347989,0.19753855
2.8794973,-1.5169115,1.6193104,-0.08857546,-0.015347989,0.19753855
2.9031012,-1.5157957,1.6237924,-0.08857546,-0.015347989,0.19753855
2.4242609,-0.924428,0.36923075,-0.17287487,0.07933612,0.17310394
1.4933652,-1.4322252,0.7565222,-0.20647246,0.12454015,0.16394097
0.6129346,-1.9396582,-1.4836569,-0.2406809,0.15386169,0.15233453
-0.6628165,-0.72155094,1.4757648,-0.29871312,0.19478965,0.1333977
-0.6293039,-0.7159853,1.5084331,-0.34147367,0.18623754,0.12118039
-2.5003664,0.063694954,1.3574475,-0.3585779,0.16546813,0.11629347
-2.8622673,-0.05168438,-0.6986228,-0.38912117,0.09094256,0.106519625
-3.3078687,0.9792824,1.1215789,-0.40133846,0.04390594,0.10529789
-3.0769277,2.6670504,4.1244416,-0.41783184,-0.053221636,0.10163271
-2.4579701,-1.5824118,-7.463421,-0.4288274,-0.1295798,0.09980011
-2.9205587,0.7623215,1.2515439,-0.43982297,-0.17234036,0.09980011
