AX,AY,AZ,GX,GY,GZ
-0.02758035,-0.9616518,0.05129826,0.3744604,-0.2822961,0.104687035
-0.010212183,-0.95916843,0.07491994,0.34269542,-0.30245465,0.08819367
-0.42784432,1.0175018,1.1821418,0.3390302,-0.3103959,0.08208502
-0.4956006,0.33687782,-0.41779524,0.35308012,-0.32383493,0.065591656
-0.50008535,0.34118366,-0.3722136,0.39278635,-0.3195589,0.05459608
-0.38570493,2.0270052,1.5471091,0.42088616,-0.31161764,0.04848743
-0.38127163,1.3083525,0.43851125,0.48075095,-0.28290698,0.03504839
-0.37514526,1.3110781,0.46292084,0.5131268,-0.264581,0.029550606
-0.37224457,1.3096933,0.44869477,0.57848936,-0.18761198,0.009392053
0.28972003,1.783865,1.3358436,0.58459806,-0.15951219,0.005115997
0.4456807,0.3859005,1.0783296,0.5870415,-0.12713633,-9.93E-04
0.45227355,-0.30543613,2.0394716,0.55955255,-0.06727154,-0.015653422
0.4534034,-0.31475163,1.9356155,0.49418998,-0.021456642,-0.030314188
0.43493193,0.19358826,3.0866332,0.4538729,-0.005574145,-0.0388663
0.20488459,-0.7513914,2.0944085,0.02443461,0.09399689,-0.1109484
0.023379147,-1.8111067,0.55611354,0.02443461,0.09399689,-0.1109484
0.09643939,-1.1118279,1.5379806,-0.044593163,0.116598904,-0.12744176
-0.011341184,-0.9764967,3.4679806,-0.044593163,0.116598904,-0.12744176
-0.061960787,-1.5966415,1.3533442,-0.108123146,0.14347698,-0.1390482
-0.13870206,-1.447607,1.7350783,-0.16798794,0.17218764,-0.1567633
-0.24456161,-0.49810505,1.8772898,-0.2773328,0.23510677,-0.19097175
-0.3575357,-0.25832748,1.980822,-0.32620203,0.26320657,-0.20807597
-0.3095587,-0.20280743,0.30090833,-0.40317106,0.31390837,-0.2496148
-0.13839668,1.0653696,2.3472776,-0.4709771,0.35300374,-0.28748846
0.17162703,1.2728939,2.0349452,-0.49541172,0.36949712,-0.30642527
0.5288289,0.6794071,-0.003372669,-0.539394,0.39271,-0.34857497
0.63128334,0.04525757,-0.8197499,-0.5742133,0.39759693,-0.38889208
0.66289544,1.7122478,1.94431,-0.5864306,0.39393172,-0.4078289
0.66490126,1.7112799,1.9328866,-0.61086524,0.36766452,-0.44264823
0.5089061,0.71012783,-0.06294423,-0.6151413,0.35056028,-0.45853072
0.35516253,0.7866678,1.4757787,-0.61941737,0.30718887,-0.4805219
0.2914318,0.17387104,1.6286013,-0.6096435,0.2644283,-0.49396092
0.28566375,0.16858292,1.5678661,-0.59681535,0.25221097,-0.49518263
0.28147888,0.16644192,1.5425873,-0.56077427,0.22533292,-0.4909066
0.25993106,-0.4919634,1.2217642,-0.31948254,0.1782963,-0.38644862
0.11842121,-0.6913891,2.0561488,-0.31948254,0.1782963,-0.38644862
0.11915244,-0.6956034,1.9970033,-0.31948254,0.1782963,-0.38644862
-0.35303226,-1.138421,2.0564342,-0.31948254,0.1782963,-0.38644862
-0.6025965,-1.6053991,1.9771769,-0.2919936,0.1923462,-0.36995527
-0.609329,-1.1806469,1.9686487,-0.26267207,0.21555908,-0.35162932
-0.5473136,-0.49062538,3.5750003,-0.23640485,0.2448806,-0.33513594
-0.37800506,-0.9451418,1.9994817,-0.19975294,0.30352366,-0.2935971
-0.387218,-0.9431963,2.035766,-0.17837265,0.3365104,-0.24900395
-0.041733414,-0.7677431,1.2267922,-0.16798794,0.33223432,-0.22579107
0.034060955,0.13526154,2.5138247,-0.17348573,0.27542385,-0.1811979
0.05855742,0.04159832,1.5068653,-0.17898351,0.18562667,-0.13477215
0.1689087,0.26410484,0.81816584,-0.18570304,0.13736832,-0.11033753
0.16683511,0.26501846,0.83144325,-0.20891592,0.034742963,-0.06757697
0.48826486,0.9213829,0.7981185,-0.22602014,-0.045280386,-0.03153592
0.543409,0.20407867,0.22042853,-0.22602014,-0.06421721,-0.013820826
0.5850404,0.5291691,0.52546823,-0.22052236,-0.060552016,0.008170323
0.5178884,1.2927523,2.6158671,-0.20891592,-0.04100433,0.01488984
0.5203528,1.2921686,2.6069822,-0.17592919,0.023747386,0.022220224
0.5288266,1.2921906,2.604041,-0.12889257,0.10743593,0.024663685
0.53227705,1.2910299,2.5862231,-0.06963864,0.23144157,0.009392053
0.02470629,-0.23647022,0.70677465,-0.06963864,0.23144157,0.009392053
-0.01738602,0.6248894,2.6924543,-0.06658431,0.3151301,-0.008323039
-0.019580007,0.62336445,2.6690326,-0.08246681,0.35056028,-0.019929478
0.029368415,-1.1387806,0.8125135,-0.14294247,0.42325327,-0.046196684
0.23991467,-0.9269924,1.7845126,-0.23701571,0.46906814,-0.077961676
0.45928633,0.12920761,3.2654438,-0.29443705,0.4751768,-0.09078985
0.5042472,-0.57263374,3.1396103,-0.41722095,0.43241623,-0.12072224
0.58186316,-2.0063643,-0.3283183,-0.52778757,0.33162346,-0.14576772
0.58675945,-1.046977,1.767412,-0.5687156,0.27236953,-0.15615243
0.62448305,0.3551197,4.2293587,-0.6059783,0.14775303,-0.1793653
0.55655897,-0.46518993,2.075902,-0.6017023,0.0884991,-0.18608482
0.559381,-0.46324253,2.1082945,-0.52778757,-0.014126259,-0.20013472
0.3013193,-0.45062065,1.2991368,-0.376293,-0.07154759,-0.20807597
0.17508477,0.597723,3.1314802,-0.16249016,-0.102701716,-0.21418463
0.05889,0.088887215,1.5254793,-0.032375857,-0.11369729,-0.21174116
0.06285451,0.09070873,1.5527012,0.23945917,-0.1399645,-0.19830213
-0.33149466,1.2254725,3.6235633,0.3817908,-0.15157095,-0.18791743
-0.3699366,0.9350138,2.5692806,0.63529986,-0.17172949,-0.15859589
-0.3069862,0.02158165,1.0905536,0.83199847,-0.17661642,-0.12194397
-0.31480128,0.021229744,1.0883056,0.9627236,-0.15462527,-0.04925101
-0.32024348,0.01948452,1.0626854,0.9627236,-0.15462527,-0.04925101
-0.32024348,0.01948452,1.0626854,0.95111716,-0.13874277,-0.025427265
0.09644377,0.6185999,2.5245588,0.8527679,-0.09720393,0.03688099
0.1490715,-0.74348927,0.92674196,0.6646214,-0.05505423,0.09980011
0.32022446,-0.437809,2.0555513,0.5479461,-0.041615196,0.12912165
0.40887833,0.61310863,3.9134765,0.2950479,-0.0397826,0.19204076
0.41054013,-0.17808723,3.0319676,0.047036625,-0.07399105,0.24701864
0.42327744,-1.6735363,0.12899992,-0.06047566,-0.09231701,0.2738967
0.31667262,-1.257205,1.1542963,-0.21746802,-0.13202325,0.32093334
0.29806992,0.8813095,5.5068307,-0.28405234,-0.15767959,0.3551418
0.29000676,0.06452465,3.8022232,-0.27855456,-0.16500998,0.36858082
0.2644301,-1.44207,0.26687515,-0.19425514,-0.14668402,0.38385245
0.26436698,-1.4409103,0.28824472,-0.1142318,-0.12102768,0.38935024
0.27436873,1.0696468,4.6884356,0.1826487,0.018860465,0.37713292
0.32203212,1.0623026,4.509264,0.2883284,0.061621033,0.36735907
0.31134123,-0.717,0.48328447,0.398895,0.101938136,0.35697436
0.3251257,-0.0783844,1.5695465,0.57910025,0.13553573,0.32582024
0.38900924,1.3957777,3.923749,0.689056,0.101938136,0.29405525
0.39641896,0.7395706,2.3618422,0.711658,0.061621033,0.27267498
0.3974492,0.7416496,2.3963299,0.35246924,-0.42340598,0.14439327
0.39695555,0.74046993,2.3769221,0.35246924,-0.42340598,0.14439327
0.39632136,0.7386513,2.3456993,0.35246924,-0.42340598,0.14439327
0.44181117,1.7537928,4.325704,0.35246924,-0.42340598,0.14439327
0.47948563,0.3910179,1.8540485,0.15699236,-0.47716212,0.10713049
0.48650485,-0.6486292,0.353755,0.062308256,-0.47594038,0.088804536
