AX,AY,AZ,GX,GY,GZ
0.09540975,-0.02458477,-0.11392772,-0.30848694,0.1868484,-0.06352998
0.038450286,-0.0025806427,-0.075852156,-0.27000242,0.19845484,-0.061086524
-0.02791515,-0.052536964,-0.032281995,-0.22540927,0.20639609,-0.06169739
-0.065392375,-0.0019788742,0.03542161,-0.20341812,0.21128301,-0.059864793
-0.06461525,-0.0017118454,0.03385961,-0.11301007,0.22472206,-0.052534413
-0.054673836,0.02487278,-0.0130621195,-0.11301007,0.22472206,-0.052534413
-0.04054521,0.041952133,-0.038767934,-0.087964594,0.22655465,-0.045814894
-0.0409839,0.042429924,-0.04136288,-0.042760566,0.22533292,-0.036651913
0.008325338,0.06943607,0.0268116,0.008552114,0.22044599,-0.028710667
0.045294,0.01998806,0.058285236,0.021380283,0.21189389,-0.02321288
0.034946516,-0.022247314,0.077483654,0.0720821,0.2045635,-0.012217305
0.03464958,-0.021403313,0.07280719,0.09162979,0.19662225,-0.004276057
8.5529685E-4,0.039031982,0.06729579,0.13439035,0.1868484,0.002443461
0.02366729,0.058517456,0.022440434,0.16676621,0.1782963,0.01160644
0.022271305,0.058579445,0.022299886,0.18325958,0.1782963,0.010995574
0.020616084,0.05857086,0.022575498,0.21563543,0.17768542,0.015271631
0.01881224,0.058602333,0.022543073,0.22602014,0.17218764,0.013439035
-0.014706582,0.020295143,0.058456182,0.25045475,0.1764637,0.017104227
0.012334436,-0.013079643,0.029224992,0.27122417,0.17768542,0.018325957
0.022727817,-0.04172325,-0.03572631,0.2773328,0.1764637,0.021380283
0.050583944,-0.06801224,-0.117257595,0.27977628,0.17157678,0.02443461
0.05727862,-0.07504368,-0.63039255,0.27305678,0.16180293,0.028099801
0.05188304,-0.004511833,-0.2748741,0.26816985,0.156916,0.030543262
0.087267354,-0.0966301,-0.1475786,0.24862215,0.14347698,0.03848451
0.07089725,-0.11467934,-0.13456666,0.14172074,0.10010554,0.054367006
-0.0021655113,-0.039388657,0.022270322,0.14172074,0.10010554,0.054367006
-0.010383144,-0.052823067,0.014623165,0.14172074,0.10010554,0.054367006
-0.059015676,-0.03278637,0.10297668,0.14172074,0.10010554,0.054367006
-0.12706205,0.018446922,0.25569057,0.106901415,0.087277375,0.059864793
-0.03592311,0.0072231293,0.43842554,0.08002335,0.077503525,0.06047566
0.03534165,-0.0739727,0.47323358,0.07147124,0.074449204,0.062308256
-0.12794629,0.13873863,0.30771172,0.03726278,0.06650795,0.065973446
-0.12941067,0.13845444,0.30946934,0.0061086523,0.059788436,0.06780604
0.08347674,0.107515335,0.07890737,-0.01160644,0.051847186,0.065973446
0.062250555,0.13643742,0.14998662,-0.032375857,0.05062546,0.06169739
0.10674043,0.16270924,0.04750073,-0.05131268,0.048181996,0.06352998
0.1057805,0.16198254,0.051539898,-0.06352998,0.044516806,0.057421334
0.105265245,0.16154575,0.05394566,-0.07513642,0.0463494,0.05131268
0.13160147,0.21900654,-0.05618763,-0.08368854,0.04757113,0.04520403
0.20374972,0.24485302,-0.063139796,-0.086132,0.05245805,0.04520403
0.22501814,0.23458576,-0.07163465,-0.08979719,0.053679783,0.03604105
0.23509003,0.15448093,-0.056460023,-0.087964594,0.059788436,0.03604105
0.19278306,0.07391739,-0.07952356,-0.08552113,0.06650795,0.031154128
0.09638868,0.07710838,-0.14544106,-0.08674286,0.07506007,0.021380283
0.01728037,0.054454803,-0.14709449,-0.058643065,0.12148582,0.014660766
-0.13842443,-0.0584898,-0.16215026,-0.058643065,0.12148582,0.014660766
-0.18981034,-0.16350365,-0.18147695,-0.058643065,0.12148582,0.014660766
-0.21842122,-0.26780415,-0.15448415,-0.058643065,0.12148582,0.014660766
-0.19716436,-0.36884022,-0.21355355,-0.05497787,0.12820534,0.015882496
-0.12764469,-0.33930206,-0.3082993,-0.045814894,0.13981178,0.014660766
-0.09775063,-0.16869736,-0.012428641,-0.03970624,0.14897476,0.015882496
-0.124932066,-0.39952946,0.8613851,-0.035430185,0.15752688,0.013439035
-0.12963074,-0.3315773,-0.03244412,-0.027488936,0.1642464,0.01282817
-0.21716085,-0.17538834,0.02930963,-0.026267206,0.16974418,0.010995574
-0.111312106,-0.20053387,-0.11464536,-0.010995574,0.18196149,0.015882496
-0.007781014,-0.14959717,0.11346805,-0.01038471,0.18379408,0.015271631
0.14140843,-0.03882885,0.62701,-0.009773844,0.18990274,0.013439035
0.14039677,-0.042927742,0.6493839,-0.004276057,0.19356793,0.018325957
0.14688993,-0.046753883,0.6699463,-0.0018325958,0.19662225,0.018936822
0.043939233,-0.10900307,0.28447974,-0.0030543262,0.19540052,0.019547688
-0.122883454,-0.17800426,0.28261828,0.0067195175,0.19601138,0.02321288
-0.22708076,-0.22305298,0.42286134,0.004886922,0.19723311,0.025045475
-0.24207464,-0.32825756,0.6401024,0.0012217305,0.18745928,0.02321288
-0.28143355,-0.38212013,0.8326744,0.007941248,0.18318321,0.027488936
-0.28347528,-0.36712456,0.88749397,0.026267206,0.14042264,0.034208454
-0.28095776,-0.30087662,0.7490815,0.034208454,0.13492486,0.036651913
-0.27340677,-0.3011694,0.7503679,0.034208454,0.13492486,0.036651913
-0.31599033,-0.17119503,0.3667693,0.036651913,0.12515102,0.037873644
-0.27986223,-0.14252377,0.15012729,0.036651913,0.12515102,0.037873644
-0.27938306,-0.14497852,0.1635338,0.036651913,0.12515102,0.037873644
-0.18640608,-0.14233208,0.048431873,0.039095376,0.1202641,0.03726278
-0.16330124,-0.14164734,0.0076822042,0.05375614,0.10804679,0.04520403
-0.1661353,-0.109399796,0.04117143,0.05497787,0.100716405,0.045814894
-0.12849005,-0.074394226,0.02946961,0.06352998,0.08788824,0.05009095
-0.12996508,-0.07536411,0.034965515,0.07269296,0.083001316,0.05131268
-0.16080153,0.07663059,0.0324291,0.081855945,0.071394876,0.0580322
-0.14712065,0.082159996,0.025103688,0.08246681,0.058566704,0.06047566
-0.113499105,0.034623146,-0.10665274,0.084910266,0.05673411,0.06169739
-0.12014204,0.032170296,-0.09229398,0.09407325,0.05062546,0.06658431
-0.1296471,0.029652596,-0.07717335,0.087964594,0.04024075,0.06719518
-0.05782105,0.017682076,-0.13463426,0.092240654,0.038408153,0.06780604
-0.028113753,0.08694458,-0.17415082,0.09896017,0.04085161,0.06963864
-0.040025428,0.08429432,-0.15769553,0.09407325,0.04390594,0.06841691
1.5387684E-4,0.22269344,-0.29533815,0.09162979,0.04268421,0.06719518
-0.01274316,0.21961021,-0.2756592,0.08674286,0.049403727,0.06414085
0.09070495,0.2905655,-0.5153713,0.08674286,0.049403727,0.06414085
0.13951252,0.3329258,-0.67898834,0.08002335,0.05429065,0.06047566
0.20767754,0.42828465,-0.885202,0.07391469,0.06345363,0.0580322
0.33103606,0.4690857,-1.06833,0.06352998,0.0762818,0.056199603
0.45786056,0.55123043,-1.3109133,0.052534413,0.07811439,0.05009095
0.5205592,0.560071,-1.4235221,0.045814894,0.089109965,0.045814894
0.5755749,0.55775833,-1.5467687,0.0421497,0.094607756,0.04337143
0.5661628,0.582778,-1.6553541,0.031154128,0.10560333,0.037873644
0.50802845,0.61804676,-1.7782193,0.020158553,0.11415544,0.029932396
0.55192953,0.6824589,-1.8532348,0.014049901,0.1202641,0.028710667
0.56888473,0.68502903,-1.8708537,-0.0012217305,0.123929285,0.02076942
0.57796,0.65407944,-1.9696137,-0.0018325958,0.12454015,0.019547688
0.8051605,0.73994064,-2.2084742,-0.013439035,0.12942708,0.01282817
0.90651864,1.239274,-2.9718218,-0.02687807,0.13125966,0.009162978
0.9318974,1.2398443,-2.9761004,-0.031154128,0.13370313,0.009773844
0.9624057,1.2403526,-2.9797003,-0.04153884,0.1324814,0.007330383
0.9624057,1.2403526,-2.9797003,-0.043982297,0.13370313,0.009773844
0.9453996,2.084302,-3.7529817,-0.04337143,0.13125966,0.007330383
1.1345904,2.5917149,-3.9527173,-0.052534413,0.12454015,0.0067195175
1.3397671,2.989174,-4.052872,-0.047647487,0.11965323,0.01038471
1.4571496,3.470601,-4.067789,-0.047647487,0.11965323,0.01038471
1.6674381,3.8613243,-3.8903515,-0.047647487,0.11965323,0.010995574
1.669763,3.8642159,-3.9069595,-0.03848451,0.1184315,0.015882496
1.7342486,4.7499275,-3.622697,-0.032986723,0.11537717,0.02076942
1.7458817,4.7501163,-3.6232483,-0.035430185,0.10987939,0.018325957
1.3656329,5.3227024,-3.9992976,-0.031154128,0.10804679,0.02076942
1.3225415,5.4585686,-4.53887,-0.021991149,0.10743593,0.028099801
1.3395503,5.4491463,-4.4812913,-0.013439035,0.10377073,0.029321533
1.5232302,5.1976776,-5.7400603,-0.009773844,0.10315987,0.030543262
1.0975107,4.2766094,-9.906685,-0.004886922,0.10010554,0.03359759
1.1184616,3.3855953,-12.264418,0.0,0.094607756,0.03848451
1.1486,3.3673716,-12.104227,-6.1086525E-4,0.09094256,0.035430185
1.5028934,2.4101028,-14.888224,0.01160644,0.090331696,0.03848451
2.4490776,-0.6690664,-17.451628,0.008552114,0.08361218,0.040927973
2.4490776,-0.6690664,-17.451628,-0.23579398,-2.0073795,-0.40683624
2.6597085,-4.1266155,-9.726468,-0.51068336,-2.0904572,-0.37995818
2.669114,-4.1147842,-9.850543,-0.64996064,-2.1344395,-0.36713
2.6585605,-4.0907707,-10.070108,-0.9254609,-2.2327888,-0.3408628
2.6585605,-4.0907707,-10.070108,-1.1972959,-2.3329706,-0.31337386
3.9828537,-7.7959023,7.530239,-2.166739,-2.7336984,-0.19486602
4.480597,-8.381517,16.608553,-2.2644775,-2.7874544,-0.17715092
4.087452,-8.2192955,26.139051,-2.2644775,-2.7874544,-0.17715092
4.274486,-8.543644,29.00129,-2.362216,-2.8412106,-0.15821409
4.745949,-8.933154,29.185316,-2.362216,-2.8412106,-0.15821409
4.7102356,-8.933715,29.185778,-2.362216,-2.8412106,-0.15821409
3.043161,-7.4510098,24.20975,-2.4489589,-2.9041297,-0.1423316
1.5577517,-7.1539063,20.134686,-2.606562,-3.0379093,-0.106901415
-0.3918336,-6.7708883,16.644472,-2.6743681,-3.1081588,-0.092240654
-1.9723183,-6.4382486,13.846516,-2.7885997,-3.2590425,-0.07941248
-1.9422488,-6.445426,13.882629,-2.886949,-3.4258087,-0.08124508
-2.9033875,-6.035204,8.887875,-2.9174924,-3.5094972,-0.09285152
-2.6171014,-5.275332,5.829846,-2.9712486,-3.6890917,-0.13255776
-1.779305,-4.401951,3.2994018,-2.9907963,-3.8784597,-0.1966986
-1.8786925,-4.4295597,3.4566383,-2.973692,-4.0708823,-0.2828306
0.42458037,-2.4929748,-0.05835235,-2.9565878,-4.171675,-0.3323107
1.5689552,-1.6381035,-1.2263079,-2.928488,-4.276744,-0.38606682
2.266672,-0.4088335,-2.8040855,-2.8441887,-4.486271,-0.49174652
2.1889887,-0.41791344,-2.697238,-2.7317894,-4.701906,-0.59864795
2.1366358,-0.42307854,-2.6245103,-2.6670377,-4.8039207,-0.64568454
2.0408676,0.003088951,-3.084197,-2.4226916,-5.051932,-0.7672467
1.7055191,0.450737,-3.2980814,-2.3280075,-5.1160727,-0.79779
1.6855955,0.45010757,-3.2805998,-2.2290473,-5.166164,-0.8167268
1.3904934,1.0225496,-3.364513,-2.0164661,-5.215033,-0.84665924
1.3336442,1.1618042,-3.5167923,-1.7873917,-5.1905985,-0.8552113
1.3408108,1.3127623,-3.7557268,-1.6694947,-5.1496706,-0.84849185
1.3361347,1.3125839,-3.750966,-1.4337007,-5.00795,-0.8142834
0.91557527,1.4080868,-3.781164,-1.3170254,-4.9053245,-0.79229224
0.5404288,1.4298468,-3.4930778,-1.0726794,-4.639598,-0.7287622
0.03704849,1.2638998,-2.9694395,-0.8362745,-4.3237805,-0.6450737
-0.28762323,1.1046543,-2.3248858,-0.72326446,-4.1429644,-0.59803706
-0.25357497,1.109827,-2.3893943,-0.48991394,-3.7306304,-0.49663344
-0.59341484,1.1330137,-1.713591,-0.2706133,-3.2730923,-0.39095375
-0.57502913,1.2445202,-0.4737156,-0.16432275,-3.0336332,-0.3390302
-0.36503977,1.2150412,-0.22234106,0.036651913,-2.5437193,-0.23945917
-0.3720552,1.216794,-0.23411715,0.2144137,-2.0525837,-0.15027285
0.075906456,1.1559801,-0.17162979,0.2938262,-1.8143462,-0.10629055
0.44103128,0.998229,-0.15135324,0.4373795,-1.3464234,-0.03848451
0.71552634,0.96671486,-0.18585372,0.49968776,-1.1240684,-0.0061086523
0.70692325,0.9637909,-0.15770638,0.59986967,-0.70990175,0.039095376
0.7030221,0.9611416,-0.13305426,0.729984,0.005421429,0.08307768
0.7030221,0.9611416,-0.13305426,0.729984,0.005421429,0.08307768
0.9152036,0.5637531,0.028410673,0.7440339,0.15997034,0.0842994
0.9102843,0.40342903,0.024816632,0.75625116,0.44768786,0.07086037
0.70701224,0.22858524,-0.12268609,0.7470882,0.7085273,0.04886922
0.5906905,0.091789246,-0.17598689,0.73792523,0.8288678,0.03604105
0.40450028,0.041053772,-0.2762264,0.70005155,1.0585531,0.007941248
0.2235643,0.04294586,-0.43753088,0.6780604,1.1660653,-0.0067195175
0.2103408,-0.06026268,-0.54679376,0.6224717,1.3609314,-0.029321533
